Name,BSE Code,NSE Code,Industry,Market Capitalization
Poly Medicure,531768,POLYMED,Medical Equipment & Supplies,15221.74
Carborundum Uni.,513375,CARBORUNIV,Abrasives & Bearings,15059.01
DOMS Industries,544045,DOMS,Stationary,14981.52
Natco Pharma,524816,NATCOPHARM,Pharmaceuticals,14839.37
Anupam Rasayan,543275,ANURAS,Specialty Chemicals,14830.79
V-Guard Industri,532953,VGUARD,Household Appliances,14790.69
Avanti Feeds,512573,AVANTIFEED,Animal Feed,14737.06
Travel Food,544443,TRAVELFOOD,Restaurants,14636.22
Kajaria Ceramics,500233,KAJARIACER,Ceramics,14628.29
Leela Palaces Hotels,544408,THELEELA,Hotels & Resorts,14581.83
Zensar Tech.,504067,ZENSARTECH,Computers - Software & Consulting,14573.89
A B Real Estate,500040,ABREL,Paper & Paper Products,14542.83
BEML Ltd,500048,BEML,Construction Vehicles,14538.16
Ircon Intl.,541956,IRCON,Civil Construction,14500.93
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals,14470.73
Dr Agarwal's Hea,544350,AGARWALEYE,Hospital,14460.68
Allied Blenders,544203,ABDL,Breweries & Distilleries,14436.16
Gallantt Ispat L,532726,GALLANTT,Iron & Steel Products,14412.96
Trident,521064,TRIDENT,Other Textile Products,14360.78
Ratnamani Metals,520111,RATNAMANI,Iron & Steel Products,14298.95
Niva Bupa Health,544286,NIVABUPA,General Insurance,14297.08
Minda Corp,538962,MINDACORP,Auto Components & Equipments,14243.41
Gabriel India,505714,GABRIEL,Auto Components & Equipments,14170.55
Data Pattern,543428,DATAPATTNS,Aerospace & Defense,14139.16
RRPSemiconductor,504346,,Other Financial Services,14089.12
Granules India,532482,GRANULES,Pharmaceuticals,14066.3
Vardhman Textile,502986,VTL,Other Textile Products,14052.43
Emmvee Photovol.,544608,EMMVEE,Other Electrical Equipment,14040.98
India Cements,530005,INDIACEM,Cement & Cement Products,14002.9
Blue Dart Expres,526612,BLUEDART,Logistics Solution Provider,13965.05
A B Lifestyle,544403,ABLBL,Speciality Retail,13942.76
Jain Resource,544537,JAINREC,Diversified Metals,13889.84
Ola Electric,544225,OLAELEC,2/3 Wheelers,13876.38
Brainbees Solut.,544226,FIRSTCRY,E-Retail/ E-Commerce,13873.26
JBM Auto,532605,JBMA,Auto Components & Equipments,13809.59
Canara HSBC,544583,CANHLIFE,Life Insurance,13805.24
L T Foods,532783,LTFOODS,Other Agricultural Products,13771.94
UTI AMC,543238,UTIAMC,Asset Management Company,13750.74
Fine Organic,541557,FINEORG,Specialty Chemicals,13744.54
Indiamart Inter.,542726,INDIAMART,Internet & Catalogue Retail,13732.09
ACME Solar Hold.,544283,ACMESOLAR,Power Generation,13689.21
Cohance Life,543064,COHANCE,Pharmaceuticals,13650
Welspun Living,514162,WELSPUNLIV,Other Textile Products,13625.62
International Ge,544311,IGIL,Diversified Commercial Services,13610.54
Aptus Value Hou.,543335,APTUS,Housing Finance Company,13597.01
Tega Inds.,543413,TEGA,Industrial Products,13587.34
Aether Industri.,543534,AETHER,Specialty Chemicals,13564.83
Shriram Pistons,544344,SHRIPISTON,Auto Components & Equipments,13384.02
Swan Corp,503310,SWANCORP,Petrochemicals,13340.72
C P C L,500110,CHENNPETRO,Refineries & Marketing,13312.6
OneSource Speci.,544292,ONESOURCE,Pharmaceuticals,13262.94
CCL Products,519600,CCL,Tea & Coffee,13233.12
Five-Star Bus.Fi,543663,FIVESTAR,Non Banking Financial Company (NBFC),13221.32
Rubicon Research,544578,RUBICON,Pharmaceuticals,13069.23
Paradeep Phosph.,543530,PARADEEP,Fertilizers,12985.89
Deepak Fertilis.,500645,DEEPAKFERT,Commodity Chemicals,12878.08
Akzo Nobel,500710,AKZOINDIA,Paints,12874.75
Jupiter Wagons,533272,JWL,Railway Wagons,12874.48
Birlasoft Ltd,532400,BSOFT,Computers - Software & Consulting,12846.74
TD Power Systems,533553,TDPOWERSYS,Heavy Electrical Equipment,12651.77
Usha Martin,517146,USHAMART,Iron & Steel Products,12619.79
Can Fin Homes,511196,CANFINHOME,Housing Finance Company,12509.91
Nuvoco Vistas,543334,NUVOCO,Cement & Cement Products,12502.31
Zydus Wellness,531335,ZYDUSWELL,Packaged Foods,12481.55
SignatureGlobal,543990,SIGNATURE,"Residential, Commercial Projects",12465.35
Afcons Infrastr.,544280,AFCONS,Civil Construction,12438.63
BLS Internat.,540073,BLS,"Tour, Travel Related Services",12362.75
The Bombay Burmah,501425,BBTC,Packaged Foods,12359.28
SKF India Indus.,544572,SKFINDUS,Abrasives & Bearings,12327.11
Gravita India,533282,GRAVITA,Industrial Minerals,12317.57
Kirl. Brothers,500241,KIRLOSBROS,"Compressors, Pumps & Diesel Engines",12270.27
Cyient,532175,CYIENT,IT Enabled Services,12248.17
Ujjivan Small,542904,UJJIVANSFB,Other Bank,12221.59
KSB,500249,KSB,"Compressors, Pumps & Diesel Engines",12217.05
Concord Biotech,543960,CONCORDBIO,Pharmaceuticals,12212.47
NMDC Steel,543768,NSLNISP,Iron & Steel,12206.02
Graphite India,509488,GRAPHITE,Electrodes & Refractories,12163.29
Sammaan Capital,535789,SAMMAANCAP,Housing Finance Company,12114.1
Home First Finan,543259,HOMEFIRST,Housing Finance Company,12081.02
Zen Technologies,533339,ZENTEC,Aerospace & Defense,12063.01
Techno Elec.Engg,542141,TECHNOE,Civil Construction,11980.17
JM Financial,523405,JMFINANCIL,Holding Company,11950.09
Jindal Saw,500378,JINDALSAW,Iron & Steel Products,11825.24
Sansera Enginee.,543358,SANSERA,Auto Components & Equipments,11784.69
