Name,BSE Code,NSE Code,Industry,Market Capitalization
Bosch,500530,BOSCHLTD,Auto Components & Equipments,107033.37
GAIL (India),532155,GAIL,Gas Transmission/Marketing,105358.16
CG Power & Ind,500093,CGPOWER,Heavy Electrical Equipment,105147.87
Billionbrains,544603,GROWW,Stockbroking & Allied,104969.41
Lodha Developers,543287,LODHA,"Residential, Commercial Projects",104731.14
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals,103907.33
LG Electronics,544576,LGEINDIA,Household Appliances,102976.72
GMR Airports,532754,GMRAIRPORT,Airport & Airport services,102876.11
Apollo Hospitals,508869,APOLLOHOSP,Hospital,102431.5
Lupin,500257,LUPIN,Pharmaceuticals,101406.05
Max Healthcare,543220,MAXHEALTH,Hospital,101186.11
REC Ltd,532955,RECLTD,Financial Institution,100655.06
United Spirits,532432,UNITDSPR,Breweries & Distilleries,98894.28
Shree Cement,500387,SHREECEM,Cement & Cement Products,98177.25
Indian Hotels Co,500850,INDHOTEL,Hotels & Resorts,98102.98
H P C L,500104,HINDPETRO,Refineries & Marketing,97581.97
Marico,531642,MARICO,Edible Oil,97170.56
Mazagon Dock,543237,MAZDOCK,Ship Building & Allied Services,96710.86
ICICI Pru Life,540133,ICICIPRULI,Life Insurance,94923.35
Persistent Systems,533179,PERSISTENT,Computers - Software & Consulting,94362.09
B H E L,500103,BHEL,Heavy Electrical Equipment,93684.22
ICICI Lombard,540716,ICICIGI,General Insurance,93405.21
Siemens Ener.Ind,544390,ENRIN,Heavy Electrical Equipment,92509.54
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals,91084.3
Aditya Birla Cap,540691,ABCAPITAL,Investment Company,90241.77
GE Vernova T&D,522275,GVT&D,Heavy Electrical Equipment,89984.95
Dabur India,500096,DABUR,Personal Care,89527.58
Swiggy,544285,SWIGGY,E-Retail/ E-Commerce,88744.1
Waaree Energies,544277,WAAREEENER,Other Electrical Equipment,88425.81
SRF,503806,SRF,Commodity Chemicals,86279.93
Mankind Pharma,543904,MANKIND,Pharmaceuticals,85863.52
Hitachi Energy,543187,POWERINDIA,Heavy Electrical Equipment,85619.22
Havells India,517354,HAVELLS,Consumer Electronics,84685.91
JSW Energy,533148,JSWENERGY,Power Generation,83340.2
Bharti Hexacom,544162,BHARTIHEXA,Telecom - Cellular & Fixed line services,81468.59
Oil India,533106,OIL,Oil Exploration & Production,81070.41
NHPC Ltd,533098,NHPC,Power Generation,80350.04
One 97,543396,PAYTM,Financial Technology (Fintech),77505.53
Lenskart Solut.,544600,LENSKART,Speciality Retail,77488.78
Bajaj Housing,544252,BAJAJHFL,Housing Finance Company,76107.41
Info Edg.(India),532777,NAUKRI,Internet & Catalogue Retail,75656.79
Bharat Forge,500493,BHARATFORG,Auto Components & Equipments,75153.86
Bank of India,532149,BANKINDIA,Public Sector Bank,74431.78
NMDC,526371,NMDC,Industrial Minerals,74309.56
FSN E-Commerce,543384,NYKAA,E-Retail/ E-Commerce,73993.41
AU Small Finance,540611,AUBANK,Other Bank,73752.82
IDFC First Bank,539437,IDFCFIRSTB,Private Sector Bank,73493.52
NTPC Green Ene.,544289,NTPCGREEN,Power Generation,72770.14
PB Fintech.,543390,POLICYBZR,Financial Technology (Fintech),71846.63
Torrent Power,532779,TORNTPOWER,Integrated Power Utilities,71504.49
SBI Cards,543066,SBICARD,Non Banking Financial Company (NBFC),71364.16
IndusInd Bank,532187,INDUSINDBK,Private Sector Bank,71265.78
Uno Minda,532539,UNOMINDA,Auto Components & Equipments,71079.56
L&T Finance Ltd,533519,LTF,Non Banking Financial Company (NBFC),70988.77
Federal Bank,500469,FEDERALBNK,Private Sector Bank,70844.6
Lloyds Metals,512455,LLOYDSME,Industrial Minerals,69103.92
Dixon Technolog.,540699,DIXON,Consumer Electronics,69016.01
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals,68684.15
Meesho,544632,MEESHO,E-Retail/ E-Commerce,68269.07
Alkem Lab,539523,ALKEM,Pharmaceuticals,67797.82
Yes Bank,532648,YESBANK,Private Sector Bank,67119.38
I O B,532388,IOB,Public Sector Bank,67089.64
Natl. Aluminium,532234,NATIONALUM,Aluminium,66816.94
Coromandel Inter,506395,COROMANDEL,Fertilizers,66408.8
Rail Vikas,542649,RVNL,Civil Construction,65960.37
Prestige Estates,533274,PRESTIGE,"Residential, Commercial Projects",65774.61
S A I L,500113,SAIL,Iron & Steel,65506.31
General Insuranc,540755,GICRE,General Insurance,65500.44
Suzlon Energy,532667,SUZLON,Heavy Electrical Equipment,65075.54
Oracle Fin.Serv.,532466,OFSS,Software Products,64857.82
Fortis Health.,532843,FORTIS,Hospital,64711.25
Jindal Stain.,532508,JSL,Iron & Steel,64139.63
UPL,512070,UPL,Pesticides & Agrochemicals,63084.87
Multi Comm. Exc.,534091,MCX,Exchange and Data Platform,61445.12
Phoenix Mills,503100,PHOENIXLTD,"Residential, Commercial Projects",61119.46
APL Apollo Tubes,533758,APLAPOLLO,Iron & Steel Products,60569.02
Adani Total Gas,542066,ATGL,LPG/CNG/PNG/LNG Supplier,59983.65
Schaeffler India,505790,SCHAEFFLER,Auto Components & Equipments,59798.6
Biocon,532523,BIOCON,Pharmaceuticals,59600.82
Sundaram Finance,590071,SUNDARMFIN,Non Banking Financial Company (NBFC),59164.31
Nippon Life Ind.,540767,NAM-INDIA,Asset Management Company,58902.38
Hindustan Copper,513599,HINDCOPPER,Copper,58741.73
Max Financial,500271,MFSL,Life Insurance,58705.82
HDB FINANC SER,544429,HDBFS,Non Banking Financial Company (NBFC),58176.8
Abbott India,500488,ABBOTINDIA,Pharmaceuticals,57793.81
Colgate-Palmoliv,500830,COLPAL,Personal Care,57505.92
Vishal Mega Mart,544307,VMM,Diversified Retail,57472.73
MRF,500290,MRF,Tyres & Rubber Products,57221.4
Oberoi Realty,533273,OBEROIRLTY,"Residential, Commercial Projects",56378.57
Patanjali Foods,500368,PATANJALI,Edible Oil,55988.94
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals,55609.28
JSW Infrast,543994,JSWINFRA,Port & Port services,55282.42
Berger Paints,509480,BERGEPAINT,Paints,55068.59
Knowledge Realty,544481,KRT,Real Estate Investment Trusts (REITs),53758.03
Coforge,532541,COFORGE,Computers - Software & Consulting,53711.83
